LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-32, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,48:1C:B9:9A:C2:44,-31, WPA ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,F6:33:86:AB:C8:E6,-26,,0.000000,0.000000,0.000,0.000,Client
2024-04-09 00:30:38,1900-01-00 00:00:00,TELLO-9AC244,48:1C:B9:9A:C2:44,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,TELLO-9AC244,48:1C:B9:9A:C2:44,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,TELLO-9AC244,48:1C:B9:9A:C2:44,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,TELLO-9AC244,48:1C:B9:9A:C2:44,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-09 00:30:38,1900-01-00 00:00:00,,F6:33:86:AB:C8:E6,-26,,0.000000,0.000000,0.000,0.000,Client
2024-04-09 00:30:38,1900-01-00 00:00:00,TELLO-9AC244,48:1C:B9:9A:C2:44,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
